OBJECTID,STATE,COUNTY,TRACT,TRACT_NO,FIPS,tract_string,statename,countyname,Mean_UHI_2017,Mean_TWI_2014,Carbon_Lbs_Tract,Carbon_Lbs_Acre,Index_UHI_TWI,Shape__Area,Shape__Length
116,41,051,008901,89.01,41051008901,41051008901,Oregon,Multnomah County,-4.7423716468087,6.83960290074996,159935781.208918,66491.282235949,-2.33951093347842,104777672.06543,53189.4166112342
117,41,051,009201,92.01,41051009201,41051009201,Oregon,Multnomah County,3.91361808648068,8.46807353556511,15762782.9041046,23910.7737628953,1.8801903828936,28716207.5493164,21975.8076206702
118,41,051,008301,83.01,41051008301,41051008301,Oregon,Multnomah County,4.19578395593709,8.60158630748249,6559664.0640252,16371.2022463296,2.09452216413277,17453753.652832,17740.3253819362
119,41,051,008302,83.02,41051008302,41051008302,Oregon,Multnomah County,1.19113108368227,7.64290174228182,22040529.4652987,39844.9327213585,0.254224345511596,24095544.425293,20418.5037489231
120,41,051,008400,84,41051008400,41051008400,Oregon,Multnomah County,3.24250627968432,8.57231929832305,8392427.79586945,26186.9213986319,1.77307543336528,13960178.7548828,15824.3376411628
121,41,051,008500,85,41051008500,41051008500,Oregon,Multnomah County,1.80969848851599,10.2306919966799,12175096.1483231,22428.1239052965,2.91505041789946,23646521.8359375,20036.4932833778
122,41,051,008700,87,41051008700,41051008700,Oregon,Multnomah County,2.74199348780709,8.81011250616693,9247800.17435506,22282.9162304266,1.84597469486414,18078159.9975586,19496.4382860179
123,41,051,009000,90,41051009000,41051009000,Oregon,Multnomah County,2.84000710533946,9.66550151779279,18023427.4298243,26082.2324494625,2.69272951815697,30100966.5961914,24423.2924593028
124,41,051,009102,91.02,41051009102,41051009102,Oregon,Multnomah County,-2.8612183036313,7.08121286968858,83807560.5745423,64616.7540174545,-1.52966940470007,56497063.8383789,29807.7446787651
125,41,051,009202,92.02,41051009202,41051009202,Oregon,Multnomah County,3.09553503765873,8.95024242730961,10232611.8468561,25473.2026556649,2.08859946573735,17498094.4140625,18559.3875994286
126,41,051,009603,96.03,41051009603,41051009603,Oregon,Multnomah County,3.43888631949275,8.72823648575643,9859083.32732833,22824.1885392476,1.98238219635488,18816073.7270508,20266.0516961179
127,41,051,009302,93.02,41051009302,41051009302,Oregon,Multnomah County,0.457471990962771,8.11958524579446,23783212.5997247,35307.3680011336,0.483390488525209,29342221.730957,22667.1639112244
128,41,051,009803,98.03,41051009803,41051009803,Oregon,Multnomah County,1.43848654248168,8.23257491795885,24907696.0361302,30959.24489292,0.893301094098906,35045399.7705078,24962.7523536295
129,41,051,009903,99.03,41051009903,41051009903,Oregon,Multnomah County,-2.60596088769177,6.794587745425,71805511.4231436,39673.2696630796,-1.72469736238322,78840178.9643555,42889.5438129351
130,41,051,010200,102,41051010200,41051010200,Oregon,Multnomah County,-2.48877469023289,10.5160638610592,264355570.331208,25119.703104643,1.86400354802899,458418125.995605,129656.621352852
131,41,051,010304,103.04,41051010304,41051010304,Oregon,Multnomah County,1.76436099507975,8.25514016568082,11366695.154479,21501.1467897534,1.01517699107179,23028221.9013672,24702.5258068617
132,41,051,010306,103.06,41051010306,41051010306,Oregon,Multnomah County,2.43980792083906,7.79491254376819,7820317.4933726,19085.9899444767,0.783796942942274,17848326.7426758,19437.8215797339
133,41,051,010402,104.02,41051010402,41051010402,Oregon,Multnomah County,-5.29772265023985,6.56466361554691,459959068.681538,51860.9641472649,-2.77296405702946,386337099.706543,118020.33325188
134,41,051,010407,104.07,41051010407,41051010407,Oregon,Multnomah County,-2.09400629407133,6.88588540896769,45001394.6997741,42812.0936977667,-1.47991487259501,45787541.5981445,33100.729970311
135,41,051,009400,94,41051009400,41051009400,Oregon,Multnomah County,3.30345285001404,8.4209090801731,18323542.4146396,19652.5528548581,1.64730024338472,40614235.2954102,29519.8813822308
136,41,051,009501,95.01,41051009501,41051009501,Oregon,Multnomah County,2.92030251814786,8.12249759990083,8659836.04180076,18720.5655176202,1.24445934509872,20150161.0019531,31059.2558420479
137,41,051,009701,97.01,41051009701,41051009701,Oregon,Multnomah County,4.04628909640842,9.67750466411099,8234661.61360593,18292.9150029816,3.07559400141439,19608783.8232422,18006.6389770217
138,41,051,010408,104.08,41051010408,41051010408,Oregon,Multnomah County,1.35266460269888,7.37356613759515,14089486.794551,20109.5671219111,0.046844477342035,30519700.8007813,27312.9584715076
139,41,051,007100,71,41051007100,41051007100,Oregon,Multnomah County,-7.60908459689115,7.00753596226136,1159804711.8396,65919.7126902543,-3.0618388431053,1546373889.74316,172226.580713686
140,41,051,009301,93.01,41051009301,41051009301,Oregon,Multnomah County,1.64576594435324,7.84288267903545,13887103.014535,32754.9475222824,0.585110425579625,18468114.9238281,18071.1277228153
141,41,051,010002,100.02,41051010002,41051010002,Oregon,Multnomah County,1.25341987343101,7.12339087807512,14308414.6166893,29948.8849543137,-0.222536251701155,20811274.2211914,23351.8873107294
142,41,051,006001,60.01,41051006001,41051006001,Oregon,Multnomah County,-7.60770296304308,5.20528253696841,55239899.8131054,123004.899120124,-4.78189250328148,19562226.9355469,37648.0709469302
143,41,051,006601,66.01,41051006601,41051006601,Oregon,Multnomah County,-2.62162917436872,6.34966040893441,22890362.4450991,58817.0117500512,-2.1542609900089,16952647.6586914,16963.5732868239
144,41,051,006002,60.02,41051006002,41051006002,Oregon,Multnomah County,-1.90724372218959,5.6928299807518,19936285.0928908,60713.6685571556,-2.56133440069955,14303607.25,16299.9957441333
145,41,051,006100,61,41051006100,41051006100,Oregon,Multnomah County,-3.28556539949063,5.85295413859677,25004910.8848059,62077.9470596087,-2.83285142190008,17545905.4941406,24444.2288204958
146,41,051,006200,62,41051006200,41051006200,Oregon,Multnomah County,-1.89983508859882,5.9041731305214,21315923.9393982,48692.8257356226,-2.35729954114105,19068959.9775391,26988.8416583038
147,41,051,006501,65.01,41051006501,41051006501,Oregon,Multnomah County,-2.90868874021622,6.42395531448627,57108224.8687165,63618.8383932927,-2.17172077069853,39102159.5058594,28611.0655322476
148,41,051,006502,65.02,41051006502,41051006502,Oregon,Multnomah County,-0.517591194203167,6.19072071602254,18920410.2098751,40164.6124799867,-1.65817016948245,20519878.4223633,23693.8394327337
149,41,051,006602,66.02,41051006602,41051006602,Oregon,Multnomah County,-0.356859641996297,6.25457538548106,23887562.0560647,38132.5229991609,-1.5477246599089,27287522.4243164,24867.8084818198
150,41,051,006701,67.01,41051006701,41051006701,Oregon,Multnomah County,-1.19886706789007,6.36210568969585,20821529.4866769,45467.4871665849,-1.70432168907439,19948005.9306641,20073.8527235525
151,41,051,006702,67.02,41051006702,41051006702,Oregon,Multnomah County,-1.38012423366308,5.79956390806775,16816506.4552986,49087.7947632617,-2.29714687569936,14922791.4287109,20348.8870727119
152,41,051,007202,72.02,41051007202,41051007202,Oregon,Multnomah County,1.11028187912986,10.1621476265694,131668566.795475,15603.6167845309,2.63427055690199,367573886.735352,119523.958970763
153,41,051,010410,104.1,41051010410,41051010410,Oregon,Multnomah County,1.52490675975028,8.82612859375235,8135704.83391878,18582.088095013,1.48653141304856,19071659.5439453,17791.4768152671
154,41,051,002903,29.03,41051002903,41051002903,Oregon,Multnomah County,-0.133315712997545,7.83760901522224,36762092.7797335,51057.0296320396,0.0323089924498116,31364076.2792969,22097.9939952071
155,41,051,007800,78,41051007800,41051007800,Oregon,Multnomah County,0.917656610640075,8.35730093459249,8397797.40018758,30352.3777479364,0.852007899331775,12052038.0322266,25564.7896381647
156,41,051,008800,88,41051008800,41051008800,Oregon,Multnomah County,2.24166922798323,7.81314511768466,9803510.06807735,24066.2666578777,0.740196696914511,17744374.5834961,19789.3455959812
157,41,051,009502,95.02,41051009502,41051009502,Oregon,Multnomah County,4.20732379680548,8.76793354063594,4054853.67599642,10007.4937006678,2.25687469531372,17649714.1391602,17761.541278132
158,41,051,004300,43,41051004300,41051004300,Oregon,Multnomah County,-7.53091516873546,6.09172702005883,789605621.689823,113137.148577112,-3.9120265864689,304013465.34082,120537.852379701
159,41,051,000200,2,41051000200,41051000200,Oregon,Multnomah County,2.14658670034684,8.98921870999073,11772136.8082227,20001.1944273666,1.83363257028126,25638179.3823242,28029.3668841787
160,41,051,000301,3.01,41051000301,41051000301,Oregon,Multnomah County,-0.10994826357337,8.20409800144721,17944028.4842416,31192.4353256438,0.389363804084957,25058697.0722656,22790.4724436334
161,41,051,009904,99.04,41051009904,41051009904,Oregon,Multnomah County,2.56493782613929,7.59241929804597,4929403.74066158,15425.98220034,0.629018145246856,13919684.0151367,17857.8582154687
162,41,051,009906,99.06,41051009906,41051009906,Oregon,Multnomah County,-7.10539558348429,5.83424958367705,108884016.06045,92289.0040118924,-4.02680683061118,51392765.5454102,29341.552421237
